Gw,YR,MN,TYP,CITY,CSIZk,CCLASS,REGION,REGIAB,COMPANY,GROUP,EC,ACTNAME,NSZZ,RZM,SN0,SN1,A1,A2,PPL,R1,R2,SITE,DR,CLAIMNAME,C1,C2,DI,TR,RS,VAN,VIO,INT,SOL
1,4,1,1,Bytom,170,0,12,SL,Centralna Stacja Ratownictwa Górniczego w Bytomiu,0,2,0,0,0,1,1,2,0,20,4,4,1,2,0,4,0,1,3,1,0,0,0,0
1,4,1,1,Bytów,170,0,11,PM,Bytów hospital,0,17,0,0,0,0,1,2,0,0,3,0,0,0,against low NFZ contract,2,0,1,2,2,0,0,0,0
1,4,1,1,Gdańsk,464,3,11,PM,Gdańsk shipyard,0,3,S,1,0,1,1,2,0,20,3,0,3,0,dialogue about privatisation,7,0,1,2,1,0,0,0,0
1,4,1,1,Gostyń,20,0,15,WL,Gostyń hospital,0,17,0,0,0,1,1,4,0,0,5,0,1,0,0,1,10,2,3,0,0,0,0,0
5,4,1,1,Jędrzejów,15,0,13,SK,Resanus,0,3,S,1,0,1,1,2,0,46,4,7,1,9,0,11,0,1,3,3,0,0,0,0
1,4,1,2,Kraków,765,3,6,MP,0,0,16,0,0,0,0,0,4,0,0,1,0,0,0,against closing of schools,12,0,2,2,2,0,0,0,0
1,4,1,1,Krosno,47,0,9,PK,Krosno hospital,0,17,0,0,0,99,0,4,0,400,7,0,9,99,0,11,0,1,3,1,0,0,0,0
1,4,1,1,Łódź,697,3,5,LO,0,0,16,0,0,0,1,1,3,0,0,8,0,9,99,against closing of schools,12,0,2,5,0,0,0,0,0
1,4,1,2,PL,0,99,97,PL,PKP,0,8,0,0,0,1,1,2,0,,2,0,0,99,dajcie pół miliona na przewozy regionalne,2,15,2,1,1,0,0,0,0
5,4,1,1,Poznań,542,3,15,WL,Zespół Elektrociepłowni Poznań,0,4,0,0,0,1,1,2,0,0,2,0,0,99,social guarantees by new investor,8,5,2,1,2,0,0,0,0
2,4,1,2,Rzeszów,188,3,9,PK,Rzeszowski Zakład Energetyczny,0,4,0,0,0,1,1,2,0,0,2,0,1,0,against restructurisation,8,0,2,1,1,0,0,0,0
2,4,1,1,SL,0,99,12,SL,Telekomunikacja Polska,0,10,S,1,0,0,1,2,0,600,2,0,1,1,0,10,0,2,3,2,0,0,0,0
2,4,1,1,Warszawa,1754,3,7,MZ,PKP,0,8,0,0,0,1,1,2,0,0,3,0,2,99,don’t take money from regional lines,2,15,2,1,0,0,0,0,0
